"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","617","Daily talking chart — DTR meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Daily talking chart — DTR meters only","Daily talking chart","communication-trend",""
"","1347","Current problems — by consumer category, hour by hour, DTR meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Current problems — by consumer category, hour by hour, DTR meters only","Current problems","eventdatacurrent",""
"","1311","Meter list — search finds the meter serial","master-data","2026-09-15","passed","2026-09-15","Meter list — search finds the meter serial","Master data — meter list","meter-master",""
"","1765","Invalid Bearer token returns 401","meter-replacement","2026-09-15","failed","2026-09-15","Invalid Bearer token returns 401","Meter Replacement Consumer Search API — Auth Negative","consumer-search-negative",""
"","1736","DTR search — limit 0 is rejected","utils-lookup","2026-09-15","passed","2026-09-15","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › DTR search › DTR search — limit 0 is rejected","indoore_backend_testing","modules/UTILS-LOOKUP/tests/dtrsearch",""
"","1815","cannot open with a badly formed login token","dashboard","2026-09-15","passed","2026-09-15","cannot open with a badly formed login token","DTR voltage unbalance — cannot open without a valid login","dtrvoltageunbalance",""
"","693","Validate ls network trends","energy-audits","2026-09-15","passed","2026-09-15","Validate ls network trends","network-trends.harness.ts","modules/ENERGY-AUDITS/tests/network-trends",""
"","515","Urgency level 6 events — dtrs is treated as DTR meters","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency level 6 events — dtrs is treated as DTR meters","Urgency level events","eventpriority",""
"","24","Saved example — permanently-disconnected with rows (offline)","dashboard","2026-09-15","passed","2026-09-15","Saved example — permanently-disconnected with rows (offline)","Dashboard — consumers by connection status","consumerconnectionstatus",""
"","1061","DTR energy over time — a second transformer still shows a chart","dtrs","2026-09-15","passed","2026-09-15","DTR energy over time — a second transformer still shows a chart","DTR energy over time","dtrdailythresholdchart",""
"","2251","Disallowed HTTP methods are rejected","meter-replacement","2026-09-15","passed","2026-09-15","Disallowed HTTP methods are rejected","Meter Replacement Dashboard Summary API — Auth Negative","dashboard-summary-negative",""
"","9","Power quality — sample: no live reading yet","consumers","2026-09-15","passed","2026-09-15","Power quality — sample: no live reading yet","Power quality","powerquality",""
"","312","Events that did not roll over — by meter type, week by week, all meters","mis-dashboard","2026-09-15","passed","2026-09-15","Events that did not roll over — by meter type, week by week, all meters","Events that did not roll over","eventdatanonrollover",""
"","268","Talking vs not talking overview — consumers is treated as consumer meters","mis-dashboard","2026-09-15","passed","2026-09-15","Talking vs not talking overview — consumers is treated as consumer meters","Talking vs not talking overview","communication-overview",""
"","240","Daily talking chart — network 0 is rejected","mis-dashboard","2026-09-15","passed","2026-09-15","Daily talking chart — network 0 is rejected","Daily talking chart","communication-trend",""
"","239","Daily Consumption Contract Snapshot","consumption","2026-09-15","passed","2026-09-15","Daily Consumption Contract Snapshot","CONSUMPTION — Contract Snapshots","consumption.contract",""
"","2128","Urgency level 2 events — month by month, all meters","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency level 2 events — month by month, all meters","Urgency level events","eventpriority",""
"","1507","Communication consumers — invalid period type is rejected","reports","2026-09-15","passed","2026-09-15","Communication consumers — invalid period type is rejected","Communication consumers report","communicationconsumers",""
"","890","Feeder alerts — cannot open with an invalid login token","feeder","2026-09-15","passed","2026-09-15","Feeder alerts — cannot open with an invalid login token","Feeder screens — cannot open without a valid login","feeder-auth",""
"","1023","Meter transaction events — by consumer category, day by day, DTR meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Meter transaction events — by consumer category, day by day, DTR meters only","Meter transaction events","eventdatatransaction",""
"","889","cannot open without logging in","dashboard","2026-09-15","passed","2026-09-15","cannot open without logging in","Dashboard overview — cannot open without a valid login","dashboardmetrics",""
"","37","Event restoration — empty page fixture","reports","2026-09-15","passed","2026-09-15","Event restoration — empty page fixture","Event restoration report","eventrestoration",""
"","773","IND-RPT-006 — Filter combination returning zero rows → success empty grid","revenue-protection","2026-09-15","failed","2026-09-15","IND-RPT-006 — Filter combination returning zero rows → success empty grid","Revenue Protection — Cases Edge","cases-edge",""
"","241202","Validate POST /indore/meter-replacement/bulk/validate — replacement reason required","meter-replacement","2026-09-15","broken","2026-09-15","Validate POST /indore/meter-replacement/bulk/validate — replacement reason required","Bulk Validate Meter Replacement API","bulk-validation",""
"","1522","cannot open with an empty login token","dashboard","2026-09-15","passed","2026-09-15","cannot open with an empty login token","DTR consumption list — cannot open without a valid login","dtrconsumptiondetails",""
"","4555","Missing Authorization returns 401","meter-replacement","2026-09-15","passed","2026-09-15","Missing Authorization returns 401","Meter Replacement Submission History API - Auth Negative","submission-history-negative",""
"","1542","DTR event detail — 1–30 Oct 2025 first page shows columns and events","reports","2026-09-15","passed","2026-09-15","DTR event detail — 1–30 Oct 2025 first page shows columns and events","DTR event detail report","dtreventdetail",""
"","240","Urgency level 3 events — a blank time range is rejected","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency level 3 events — a blank time range is rejected","Urgency level events","eventpriority",""
"","1002","Events that did not roll over — by meter type, day by day, consumer meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Events that did not roll over — by meter type, day by day, consumer meters only","Events that did not roll over","eventdatanonrollover",""
"","435","Meter transaction events — by meter type, hour by hour, consumer meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Meter transaction events — by meter type, hour by hour, consumer meters only","Meter transaction events","eventdatatransaction",""
"","1625","DTR data — DP over 30 days requires background export","reports","2026-09-15","passed","2026-09-15","DTR data — DP over 30 days requires background export","DTR data report","dtrdata",""
"","909","Revenue subsidy (power factor) — report opens for the selected period","dashboard","2026-09-15","passed","2026-09-15","Revenue subsidy (power factor) — report opens for the selected period","Dashboard — revenue subsidy (power factor)","revenuesubsidypf",""
"","9056","Validate Module Permission Module","modules-permissions","2026-09-15","passed","2026-09-15","Validate Module Permission Module","Module Permission CRUD Flow","modulepermission",""
"","95","Sample chart — hours with no energy yet","dtrs","2026-09-15","passed","2026-09-15","Sample chart — hours with no energy yet","DTR energy over time","dtrdailythresholdchart",""
"","1740","cannot open with a badly formed login token","dashboard","2026-09-15","passed","2026-09-15","cannot open with a badly formed login token","DTR loading list — cannot open without a valid login","dtrpercentageloadingdetails",""
"","13","YNR CT Bypass report — first and last page have no duplicate meters","technical-analysis","2026-09-15","skipped","2026-09-15","Technical report — first and last page have no duplicate meters › YNR CT Bypass report — first and last page have no duplicate meters","Technical report","technicalanalysis",""
"","1542","Min-max voltage count — unknown query params are ignored","reports","2026-09-15","passed","2026-09-15","Min-max voltage count — unknown query params are ignored","Min-max voltage count","minmaxvoltagecount",""
"","1143","Power problems — by consumer category, day by day, DTR meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Power problems — by consumer category, day by day, DTR meters only","Power problems","eventdatapower",""
"","890","Bill status — invalid year is rejected","reports","2026-09-15","passed","2026-09-15","Bill status — invalid year is rejected","Bill status report","billstatus",""
"","229","Validate Audit Log Export ASC API","audit-logs","2026-09-15","skipped","2026-09-15","Validate Audit Log Export ASC API","Audit Log Export API","auditlogexport",""
"","318","Other events — by meter type, week by week, all meters","mis-dashboard","2026-09-15","passed","2026-09-15","Other events — by meter type, week by week, all meters","Other events","eventdataother",""
"","238","IND-REV-ABE-ENTRY-NEG-002 — Invalid year","revenue-protection","2026-09-15","passed","2026-09-15","IND-REV-ABE-ENTRY-NEG-002 — Invalid year","Revenue Protection — Aberration Entry Negative","aberration-entry.negative",""
"","1010","Meter communication — status opens using the meter","consumers","2026-09-15","passed","2026-09-15","Meter communication — status opens using the meter","Meter communication","communicationstatus",""
"","146","Billing history — sample: 12 empty months listed","consumers","2026-09-15","passed","2026-09-15","Billing history — sample: 12 empty months listed","Billing history","billinghistory",""
"","1835","DTR energy over time — unknown transformer is not shown","dtrs","2026-09-15","passed","2026-09-15","DTR energy over time — unknown transformer is not shown","DTR energy over time","dtrdailythresholdchart",""
"","1666","Consumers by connection status — response shape stays the same","dashboard","2026-09-15","passed","2026-09-15","Consumers by connection status — response shape stays the same","Dashboard — response shape","dashboard.contract",""
"","2052","Min-max voltage count — Oct 2025 max R returns a total","reports","2026-09-15","passed","2026-09-15","Min-max voltage count — Oct 2025 max R returns a total","Min-max voltage count","minmaxvoltagecount",""
"","306","Daily talking chart — unknown meter kind is treated as all","mis-dashboard","2026-09-15","passed","2026-09-15","Daily talking chart — unknown meter kind is treated as all","Daily talking chart","communication-trend",""
"","1347","Monthly billing — searching by a meter number returns only that meter","billing","2026-09-15","passed","2026-09-15","Monthly billing — searching by a meter number returns only that meter","Monthly billing list","billingdata",""
"","984","Energy flow chart — opens using the account number","consumers","2026-09-15","passed","2026-09-15","Energy flow chart — opens using the account number","Energy flow chart","energyflow",""
"","327","Talking vs not talking overview — both is treated as all meters","mis-dashboard","2026-09-15","passed","2026-09-15","Talking vs not talking overview — both is treated as all meters","Talking vs not talking overview","communication-overview",""
"","1435","Voltage problems — by consumer category, month by month, consumer meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Voltage problems — by consumer category, month by month, consumer meters only","Voltage problems","eventdatavoltage",""
"","965","DTR communication chart — monthly view loads","dashboard","2026-09-15","passed","2026-09-15","DTR communication chart — monthly view loads","Dashboard — DTR communication","dtrcommunication",""
"","291","Meter transaction events — by meter type, week by week, consumer meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Meter transaction events — by meter type, week by week, consumer meters only","Meter transaction events","eventdatatransaction",""
"","1001","DTR load unbalance — extra unused filters are ignored","dashboard","2026-09-15","passed","2026-09-15","DTR load unbalance — extra unused filters are ignored","Dashboard — DTR load unbalance","dtrloadunbalance",""
"","1904","DTR event — invalid toDate is rejected","reports","2026-09-15","passed","2026-09-15","DTR event — invalid toDate is rejected","DTR event report","dtrevent",""
"","478","Urgency level 1 events — dtrs is treated as DTR meters","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency level 1 events — dtrs is treated as DTR meters","Urgency level events","eventpriority",""
"","2450","Load Factor LF > 100% — household filter shows the same list (filter is not applied)","commericial-analysis","2026-09-15","passed","2026-09-15","Load Factor LF > 100% — household filter shows the same list (filter is not applied)","Load Factor report","loadfactor",""
"","1235","Dashboard — cannot open the report without logging in","commericial-analysis","2026-09-15","passed","2026-09-15","Dashboard — cannot open the report without logging in","Commercial Analysis — cannot open reports without a valid login","commercial-auth-negative",""
"","23130","How many meters we have — live view still opens","mis-dashboard","2026-09-15","passed","2026-09-15","How many meters we have — live view still opens","How many meters we have","communicationstats",""
"","267","IND-RPT-ATZ-NEG-008 — Far-future year returns empty success grid","revenue-protection","2026-09-15","passed","2026-09-15","IND-RPT-ATZ-NEG-008 — Far-future year returns empty success grid","Revenue Protection — ATR Zone Negative","atr-zone.negative",""
"","6923","Talking meters by category — all meters, Oct 2025 to Oct 2026","mis-dashboard","2026-09-15","passed","2026-09-15","Talking meters by category — all meters, Oct 2025 to Oct 2026","Talking meters by category","communication-category",""
"","5551","Current Unbalance report — first page shows columns and meters","technical-analysis","2026-09-15","passed","2026-09-15","Current Unbalance report — first page shows columns and meters","Technical report","technicalanalysis",""
"","887","IND-REV-ABE-IVRS-NEG-001 — Unknown IVRS returns not found","revenue-protection","2026-09-15","failed","2026-09-15","IND-REV-ABE-IVRS-NEG-001 — Unknown IVRS returns not found","Revenue Protection — Aberration Entry By IVRS Negative","aberration-entry-by-ivrs.negative",""
"","1549","cannot open without logging in","dashboard","2026-09-15","passed","2026-09-15","cannot open without logging in","DTR loading list — cannot open without a valid login","dtrpercentageloadingdetails",""
"","2343","Last three months — first page lists each consumer (month energy may be empty)","consumption","2026-09-15","passed","2026-09-15","Last three months — first page lists each consumer (month energy may be empty)","Pattern last three months list","lastthreemonths",""
"","259","PATCH /users/:id/status — unknown user returns 404","users-admin","2026-09-15","passed","2026-09-15","PATCH /users/:id/status — unknown user returns 404","User Admin — Negative","useradmin-negative",""
"","253","Event summary — dtrs is treated as DTR meters","mis-dashboard","2026-09-15","passed","2026-09-15","Event summary — dtrs is treated as DTR meters","Event summary","eventdata",""
"","237","IND-REV-ABE-EEN-EDGE-004 — Unfiltered query may span multiple months","revenue-protection","2026-09-15","passed","2026-09-15","IND-REV-ABE-EEN-EDGE-004 — Unfiltered query may span multiple months","Revenue Protection — Aberration Entry EENLTMT Edge","aberration-entry-eenltmt.edge",""
"","1527","DTR energy over time — week by week, each week listed once","dtrs","2026-09-15","passed","2026-09-15","DTR energy over time — week by week, each week listed once","DTR energy over time","dtrdailythresholdchart",""
"","42","Saved example — consumerType 30-day trends with trailing live count","dashboard","2026-09-15","passed","2026-09-15","Saved example — consumerType 30-day trends with trailing live count","Dashboard — overview numbers","dashboardmetrics",""
"","975","Current without voltage — invalid month is rejected","reports","2026-09-15","passed","2026-09-15","Current without voltage — invalid month is rejected","Current without voltage report","currentwithoutvoltage",""
"","73","Sample profile — network path ends at this transformer, each level once","dtrs","2026-09-15","passed","2026-09-15","Sample profile — network path ends at this transformer, each level once","DTR profile","dtrprofile",""
"","2374","DTR search — a page past the last page shows no records","utils-lookup","2026-09-15","passed","2026-09-15","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › DTR search › DTR search — a page past the last page shows no records","indoore_backend_testing","modules/UTILS-LOOKUP/tests/dtrsearch",""
"","8","buildMarkdown includes triage section","other","2026-09-15","passed","2026-09-15","core › __tests__ › defect-heuristic-triage › buildMarkdown includes triage section","indoore_backend_testing","defect-triage",""
"","29","Saved example — POST save zero period echo","dashboard","2026-09-15","passed","2026-09-15","Saved example — POST save zero period echo","Dashboard — revenue subsidy (power factor)","revenuesubsidypf",""
"","59868","Feeder list — column names in the response stay the same","master-data","2026-09-15","passed","2026-09-15","Feeder list — column names in the response stay the same","Master data — column names in the response","master-data.contract",""
"","2791","PATCH /permissions/modules/:id — isEnabled false then true","modules-permissions","2026-09-15","passed","2026-09-15","PATCH /permissions/modules/:id — isEnabled false then true","Module Permission — Advanced","modulepermission-advanced",""
"","257","GET /users/:id/devices — unknown user returns 404","users-admin","2026-09-15","passed","2026-09-15","GET /users/:id/devices — unknown user returns 404","User Admin — Negative","useradmin-negative",""
"","2107","Billing MD snapshot — includeTotal still shows the same columns","reports","2026-09-15","passed","2026-09-15","Billing MD snapshot — includeTotal still shows the same columns","Billing MD snapshot report","billingmdsnapshot",""
"","1400","Urgency level 1 events — extra unused options are ignored","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency level 1 events — extra unused options are ignored","Urgency level events","eventpriority",""
"","7","Technical report — household filter shows household meters","technical-analysis","2026-09-15","skipped","2026-09-15","Technical report — household filter shows household meters","Technical report","technicalanalysis",""
"","1","IND-REV-ABE-ENTRY-004 — Fetch Aberration Entry without optional filters","revenue-protection","2026-09-15","skipped","2026-09-15","IND-REV-ABE-ENTRY-004 — Fetch Aberration Entry without optional filters","Revenue Protection — Aberration Entry API","aberration-entry",""
"","683","Voltage problems — by consumer category, month by month, all meters","mis-dashboard","2026-09-15","passed","2026-09-15","Voltage problems — by consumer category, month by month, all meters","Voltage problems","eventdatavoltage",""
"","1546","Current without voltage — page 0 is rejected (page must start at 1)","reports","2026-09-15","passed","2026-09-15","Current without voltage — page 0 is rejected (page must start at 1)","Current without voltage report","currentwithoutvoltage",""
"","496","Voltage problems — by meter type, day by day, all meters","mis-dashboard","2026-09-15","passed","2026-09-15","Voltage problems — by meter type, day by day, all meters","Voltage problems","eventdatavoltage",""
"","274","Event summary — by urgency, month by month, all meters","mis-dashboard","2026-09-15","passed","2026-09-15","Event summary — by urgency, month by month, all meters","Event summary","eventdata",""
"","242","POST /permissions/modules/:id/permissions — unknown module returns 404","modules-permissions","2026-09-15","passed","2026-09-15","POST /permissions/modules/:id/permissions — unknown module returns 404","Module Permission — Negative","modulepermission-negative",""
"","17677","Day and Night — Night Zero Consumption: first and last page have no duplicate meters","commericial-analysis","2026-09-15","passed","2026-09-15","Day and Night — first and last page have no duplicate meters › Day and Night — Night Zero Consumption: first and last page have no duplicate meters","Day and Night consumption report","daynight",""
"","9","IND-NOT-DB-001 — inbox stats + list total + spot vs user_notifications","notifications","2026-09-15","skipped","2026-09-15","IND-NOT-DB-001 — inbox stats + list total + spot vs user_notifications","NOTIFICATIONS — DB Coverage","notifications.db",""
"","1793","Live voltage and current — shown for the consumer","consumers","2026-09-15","passed","2026-09-15","Live voltage and current — shown for the consumer","Live voltage and current","realtimepower",""
"","8452","Abnormal Low — household: billing data is not ready yet","commericial-analysis","2026-09-15","passed","2026-09-15","Abnormal Low — household: billing data is not ready yet","Consumption Compare report","consumptioncompare",""
"","248","Event summary — by consumer category, day by day, all meters","mis-dashboard","2026-09-15","passed","2026-09-15","Event summary — by consumer category, day by day, all meters","Event summary","eventdata",""
"","898","Transformer sizes — leaving out the end date is rejected","dtr-load","2026-09-15","passed","2026-09-15","Transformer sizes — leaving out the end date is rejected","Transformer size list","dtrloadratingoptions",""
"","956","Events that did not roll over — by consumer category, day by day, all meters","mis-dashboard","2026-09-15","passed","2026-09-15","Events that did not roll over — by consumer category, day by day, all meters","Events that did not roll over","eventdatanonrollover",""
"","2676","Meter communication — a smaller page size shows fewer records","master-data","2026-09-15","passed","2026-09-15","Meter communication — a smaller page size shows fewer records","Master data — meter communication","meter-communication-status",""
"","95","Energy flow chart — sample: usage matches meter totals","consumers","2026-09-15","passed","2026-09-15","Energy flow chart — sample: usage matches meter totals","Energy flow chart","energyflow",""
"","15264","DTR power on/off chart — monthly view loads","dashboard","2026-09-15","passed","2026-09-15","DTR power on/off chart — monthly view loads","Dashboard — DTR power on/off","dtrpowerstatus",""
"","12","IND-UL-DB-005 — Events COUNT + sample rows match DB","utils-lookup","2026-09-15","skipped","2026-09-15","IND-UL-DB-005 — Events COUNT + sample rows match DB","UTILS-LOOKUP — Catalog DB cross-validation","lookup-catalogs.db",""
"","39","Live load — sample: single-phase load","consumers","2026-09-15","passed","2026-09-15","Live load — sample: single-phase load","Live load","liveloadprofile",""
"","1244","Validate POST /indore/meter-replacement/bulk/validate — inactive old meter rejected","meter-replacement","2026-09-15","skipped","2026-09-15","Validate POST /indore/meter-replacement/bulk/validate — inactive old meter rejected","Bulk Validate Meter Replacement API","bulk-validation",""
"","2497","How meters are talking — missing start date uses the end date","mis-dashboard","2026-09-15","passed","2026-09-15","How meters are talking — missing start date uses the end date","How meters are talking","communication",""
"","2709","Consumer search — a page past the last page shows no records","utils-lookup","2026-09-15","passed","2026-09-15","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Consumer search › Consumer search — a page past the last page shows no records","indoore_backend_testing","modules/UTILS-LOOKUP/tests/consumersearch",""
"","1021","Feeder profile — the field list still matches what we saved","feeder","2026-09-15","passed","2026-09-15","Feeder profile — the field list still matches what we saved","Feeder — saved field lists","feeder.contract",""
"","75","Event restoration — 1–30 Oct 2025 fixture","reports","2026-09-15","passed","2026-09-15","Event restoration — 1–30 Oct 2025 fixture","Event restoration report","eventrestoration",""
"","944","DTR voltage unbalance list — balanced DTRs","dashboard","2026-09-15","passed","2026-09-15","DTR voltage unbalance list — balanced DTRs","Dashboard — DTR voltage unbalance list","dtrvoltageunbalancedetails",""
"","1714","DTR event — page 2 continues serial numbers without duplicates","reports","2026-09-15","passed","2026-09-15","DTR event — page 2 continues serial numbers without duplicates","DTR event report","dtrevent",""
"","2107","DTR list — first page shows columns, records, and page numbers","master-data","2026-09-15","passed","2026-09-15","DTR list — first page shows columns, records, and page numbers","Master data — DTR list","dtr-master",""
"","2022","Monthly billing — a meter number that does not exist shows an empty list","billing","2026-09-15","passed","2026-09-15","Monthly billing — a meter number that does not exist shows an empty list","Monthly billing list","billingdata",""
"","1809","Nearby accounts — list size cannot be more than 20","consumers","2026-09-15","passed","2026-09-15","Nearby accounts — list size cannot be more than 20","Nearby accounts","nearestaccountids",""
"","1002","Pattern comparison — a page far past the end of the list is empty","consumption","2026-09-15","passed","2026-09-15","Pattern comparison — a page far past the end of the list is empty","Consumption API — Edge","consumption-edge",""
"","238","What kinds of events happened — a missing grouping is rejected","mis-dashboard","2026-09-15","passed","2026-09-15","What kinds of events happened — a missing grouping is rejected","What kinds of events happened","event-classification",""
"","890","DTR search — page 0 is rejected","utils-lookup","2026-09-15","passed","2026-09-15","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › DTR search › DTR search — page 0 is rejected","indoore_backend_testing","modules/UTILS-LOOKUP/tests/dtrsearch",""
"","1166","Validate dtr loss analysis stats","energy-audits","2026-09-15","passed","2026-09-15","Validate dtr loss analysis stats","loss-analysis-stats.harness.ts","modules/ENERGY-AUDITS/tests/loss-analysis-stats",""
"","973","Organisation search — limit 0 is rejected","utils-lookup","2026-09-15","passed","2026-09-15","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Organisation search › Organisation search — limit 0 is rejected","indoore_backend_testing","modules/UTILS-LOOKUP/tests/searchorganization",""
"","1020","Daily talking chart — consumers is treated as consumer meters","mis-dashboard","2026-09-15","passed","2026-09-15","Daily talking chart — consumers is treated as consumer meters","Daily talking chart","communication-trend",""
"","485","Urgency level 1 events — day by day, DTR meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency level 1 events — day by day, DTR meters only","Urgency level events","eventpriority",""
"","2045","Invalid Bearer token returns 401","meter-replacement","2026-09-15","failed","2026-09-15","Invalid Bearer token returns 401","Meter Replacement Consumer Detail API — Auth Negative","consumer-detail-negative",""
"","28","Saved example — all DTRs Severe","dashboard","2026-09-15","passed","2026-09-15","Saved example — all DTRs Severe","Dashboard — DTR load unbalance","dtrloadunbalance",""
"","1117","Min-max voltage — showing 1 per page returns at most 1 record","reports","2026-09-15","passed","2026-09-15","Min-max voltage — showing 1 per page returns at most 1 record","Min-max voltage report","minmaxvoltage",""
"","881","Mapped vs unmapped meters — cannot open with an expired login token","overall-dashboard","2026-09-15","passed","2026-09-15","Mapped vs unmapped meters — cannot open with an expired login token","Home dashboard screens — cannot open without a valid login","overall-dashboard-auth",""
"","757","Validate token refresh","auth","2026-09-15","failed","2026-09-15","Validate token refresh","Auth Refresh API","refresh",""
"","14","Ip!=0 & In=0 report — first page shows columns and meters","technical-analysis","2026-09-15","skipped","2026-09-15","Ip!=0 & In=0 report — first page shows columns and meters","Technical report","technicalanalysis",""
"","1817","Feeder daily energy — cannot open with an expired login token","feeder","2026-09-15","passed","2026-09-15","Feeder daily energy — cannot open with an expired login token","Feeder screens — cannot open without a valid login","feeder-auth",""
"","258","How many events by urgency — live view still opens","mis-dashboard","2026-09-15","passed","2026-09-15","How many events by urgency — live view still opens","How many events by urgency","priority-overview",""
"","1899","Home dashboard — cannot open with a badly formed login token","overall-dashboard","2026-09-15","passed","2026-09-15","Home dashboard — cannot open with a badly formed login token","Home dashboard — cannot open without a valid login","dashboardmetrics",""
"","1189","Current problems — extra unused options are ignored","mis-dashboard","2026-09-15","passed","2026-09-15","Current problems — extra unused options are ignored","Current problems","eventdatacurrent",""
"","258","Urgency today versus yesterday — DTR meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency today versus yesterday — DTR meters only","Urgency today versus yesterday","eventpriorityoverview",""
"","291","Urgency level 3 events — week by week, DTR meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency level 3 events — week by week, DTR meters only","Urgency level events","eventpriority",""
"","235","Live voltage and current — screen shape is unchanged","consumers","2026-09-15","passed","2026-09-15","Live voltage and current — screen shape is unchanged","Consumers — screen shape checks","consumers.contract",""
"","6607","Maximum Demand — Sanction Load Violation: report opens and demand follows the rule","commericial-analysis","2026-09-15","passed","2026-09-15","Maximum Demand — Sanction Load Violation: report opens and demand follows the rule","Commercial Analysis — extra report checks","commercial-edge",""
"","898","Technical summary — month 13 is rejected","technical-analysis","2026-09-15","passed","2026-09-15","Technical summary — month 13 is rejected","Technical summary","technical-summary",""
"","914","Live voltage and current — unknown meter is empty or not found","consumers","2026-09-15","passed","2026-09-15","Live voltage and current — unknown meter is empty or not found","Live voltage and current","realtimepower",""
"","1","IND-REV-ABE-EEN-004 — Fetch EENLTMT Aberration Entry using only month","revenue-protection","2026-09-15","skipped","2026-09-15","IND-REV-ABE-EEN-004 — Fetch EENLTMT Aberration Entry using only month","Revenue Protection — Aberration Entry EENLTMT API","aberration-entry-eenltmt",""
"","991","Other events — by consumer category, day by day, consumer meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Other events — by consumer category, day by day, consumer meters only","Other events","eventdataother",""
"","236","What kinds of events happened — a blank grouping is rejected","mis-dashboard","2026-09-15","passed","2026-09-15","What kinds of events happened — a blank grouping is rejected","What kinds of events happened","event-classification",""
"","24","Saved example — balanced empty page","dashboard","2026-09-15","passed","2026-09-15","Saved example — balanced empty page","Dashboard — DTR voltage unbalance list","dtrvoltageunbalancedetails",""
"","1","IND-TA-DB-001 — Summary↔report totals + V_Consumerdetails row spot-checks","technical-analysis","2026-09-15","skipped","2026-09-15","IND-TA-DB-001 — Summary↔report totals + V_Consumerdetails row spot-checks","TECHNICAL-ANALYSIS — DB Coverage","technical-analysis.db",""
"","591","Validate dp network trends","energy-audits","2026-09-15","passed","2026-09-15","Validate dp network trends","network-trends.harness.ts","modules/ENERGY-AUDITS/tests/network-trends",""
"","7787","Unknown submission returns 404 SUBMISSION_NOT_FOUND","meter-replacement","2026-09-15","failed","2026-09-15","Unknown submission returns 404 SUBMISSION_NOT_FOUND","Meter Replacement Submission Detail API — Negative & Edge","submission-detail-negative",""
"","2263","Talking meters by category — no dates uses today","mis-dashboard","2026-09-15","passed","2026-09-15","Talking meters by category — no dates uses today","Talking meters by category","communication-category",""
"","2832","Consumers by connection status — extra unused filters are ignored","dashboard","2026-09-15","passed","2026-09-15","Consumers by connection status — extra unused filters are ignored","Dashboard — consumers by connection status","consumerconnectionstatus",""
"","1245","DTR communication — includeTotal still shows the same columns","reports","2026-09-15","passed","2026-09-15","DTR communication — includeTotal still shows the same columns","DTR communication report","dtrcommunication",""
"","83","Saved example — hourly summary cards with 12-point trends (10 Jul 2026)","dashboard","2026-09-15","passed","2026-09-15","Saved example — hourly summary cards with 12-point trends (10 Jul 2026)","Dashboard — DTR summary cards","dtrsummary",""
"","1789","DTR voltage unbalance list — moderately unbalanced DTRs","dashboard","2026-09-15","passed","2026-09-15","DTR voltage unbalance list — moderately unbalanced DTRs","Dashboard — DTR voltage unbalance list","dtrvoltageunbalancedetails",""
"","37","Saved example — high-load DTRs with rows","dashboard","2026-09-15","passed","2026-09-15","Saved example — high-load DTRs with rows","Dashboard — DTR loading list","dtrpercentageloadingdetails",""
"","236","Urgency level 6 events — an invalid time range is rejected","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency level 6 events — an invalid time range is rejected","Urgency level events","eventpriority",""
"","52","Saved example — daily null on/off buckets (10 Jul 2026)","dashboard","2026-09-15","passed","2026-09-15","Saved example — daily null on/off buckets (10 Jul 2026)","Dashboard — DTR power on/off","dtrpowerstatus",""
"","80","Saved example — all DTRs OFF scenario","dashboard","2026-09-15","passed","2026-09-15","Saved example — all DTRs OFF scenario","Dashboard — DTR summary cards","dtrsummary",""
"","89","Current without voltage — Oct 2025 phase R fixture","reports","2026-09-15","passed","2026-09-15","Current without voltage — Oct 2025 phase R fixture","Current without voltage report","currentwithoutvoltage",""
"","2286","DTR power on/off list — extra unused filters are ignored","dashboard","2026-09-15","passed","2026-09-15","DTR power on/off list — extra unused filters are ignored","Dashboard — DTR power on/off list","dtrpowerstatusdetails",""
"","134","Saved example — hourly null on/off buckets (10 Jul 2026)","dashboard","2026-09-15","passed","2026-09-15","Saved example — hourly null on/off buckets (10 Jul 2026)","Dashboard — DTR power on/off","dtrpowerstatus",""
